DB \ WEB Pool multiplier,WEB 1 X CPU,WEB 1.5 X CPU,WEB 2 X CPU,WEB 2.5 X CPU,WEB 3 X CPU
1.5,3921,4353,4019,3713,3980
2,3885,4133,4036,3889,3989
2.5,3860,4060,4271,3907,3852
3,3860,4014,4042,4041,3613
