DB \ WEB Pool multiplier,WEB 1 X CPU,WEB 1.5 X CPU,WEB 2 X CPU,WEB 2.5 X CPU,WEB 3 X CPU
1.5,1424,1596,1559,1519,1425
2,1419,1585,1578,1466,1437
2.5,1416,1562,1559,1481,1402
3,1370,1520,1520,1411,1457
