Web Threads / DB Pool,3,4,5,6,8,9,10,12,15,18
2,1423.86,1419.38,1415.92,1369.72,N/A,N/A,N/A,N/A,N/A,N/A
3,N/A,1596.15,N/A,1585.12,1561.93,1520.45,N/A,N/A,N/A,N/A
4,N/A,N/A,N/A,1558.99,1577.59,N/A,1559.35,1520.37,N/A,N/A
5,N/A,N/A,N/A,N/A,1519.25,N/A,1466.18,1480.68,1411.17,N/A
6,N/A,N/A,N/A,N/A,N/A,1424.75,N/A,1437.29,1401.62,1456.66
