DB \ WEB Pool multiplier,WEB 1 X CPU,WEB 1.5 X CPU,WEB 2 X CPU,WEB 2.5 X CPU,WEB 3 X CPU
1.5,6,27,47,59,70
2,6,27,47,61,69
2.5,6,27,47,60,71
3,6,28,47,64,69
