DB \ WEB Pool multiplier,WEB 1 X CPU,WEB 1.5 X CPU,WEB 2 X CPU,WEB 2.5 X CPU,WEB 3 X CPU
1.5,8,25,45,57,66
2,7,24,46,57,65
2.5,7,24,45,57,65
3,7,25,45,57,65
