Web Threads / DB Pool,12,16,18,20,24,30,32,36,40,48,50,60,72
8,4603.49,4894.7,N/A,4888.3,4900.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,N/A,N/A,5554.32,N/A,5510.67,5684.44,N/A,5543.61,N/A,N/A,N/A,N/A,N/A
16,N/A,N/A,N/A,N/A,5284.86,N/A,5033.57,N/A,4992.29,5143.73,N/A,N/A,N/A
20,N/A,N/A,N/A,N/A,N/A,4947.06,N/A,N/A,5003.41,N/A,5048.65,5038.98,N/A
24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4546.75,N/A,4775.59,N/A,4689.42,4771.94
